City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Coahuayana,MX,2022-07-10 16:45:25,18.7333,-103.6833,89.73,58,100,2.68
107,Hobart,AU,2022-07-10 16:46:58,-42.8794,147.3294,49.26,77,100,10.36
108,Lompoc,US,2022-07-10 16:46:58,34.6391,-120.4579,68.92,88,100,8.01
109,Esperance,AU,2022-07-10 16:46:58,-33.8667,121.9,55.15,77,80,12.41
110,Sao Miguel Do Araguaia,BR,2022-07-10 16:46:59,-13.275,-50.1628,91.89,20,0,7.16
111,Coquimbo,CL,2022-07-10 16:46:59,-29.9533,-71.3436,60.53,72,75,3.44
112,Solnechnyy,RU,2022-07-10 16:47:00,50.7214,136.6319,64.11,88,100,2.82
113,Pitimbu,BR,2022-07-10 16:47:00,-7.4706,-34.8086,82.99,68,7,15.3
114,Pisco,PE,2022-07-10 16:47:00,-13.7,-76.2167,64.45,77,20,9.22
115,Mercedes,AR,2022-07-10 16:47:00,-34.6515,-59.4307,62.04,83,95,12.95
116,Hasaki,JP,2022-07-10 16:47:01,35.7333,140.8333,75.6,93,0,3.96
117,Charters Towers,AU,2022-07-10 16:47:01,-20.1,146.2667,47.62,64,0,7.29
118,Nishihara,JP,2022-07-10 16:47:01,26.1842,127.7558,82.06,94,0,5.75
119,Chuy,UY,2022-07-10 16:47:02,-33.6971,-53.4616,72.0,72,22,11.7
120,Hachinohe,JP,2022-07-10 16:47:02,40.5,141.5,65.23,96,35,3.69
121,Port-Louis,MU,2022-07-10 16:47:03,-20.1619,57.4989,70.41,62,41,18.34
122,Cape Town,ZA,2022-07-10 16:42:31,-33.9258,18.4232,56.12,87,40,12.66
123,Tuktoyaktuk,CA,2022-07-10 16:47:03,69.4541,-133.0374,50.0,100,100,3.44
124,Upernavik,GL,2022-07-10 16:47:04,72.7868,-56.1549,39.6,83,26,2.77
125,Tiksi,RU,2022-07-10 16:47:04,71.6872,128.8694,54.63,58,7,4.32
126,Varnamo,SE,2022-07-10 16:47:04,57.186,14.04,65.26,71,98,5.99
127,Tahta,EG,2022-07-10 16:45:17,26.7693,31.5021,97.79,16,7,9.08
128,Mweka,CD,2022-07-10 16:47:05,-4.85,21.5667,78.48,27,14,2.35
129,Tasiilaq,GL,2022-07-10 16:47:05,65.6145,-37.6368,51.96,75,43,6.73
130,Saint-Philippe,RE,2022-07-10 16:47:06,-21.3585,55.7679,69.39,75,40,15.52
131,Asfi,MA,2022-07-10 16:47:06,32.2994,-9.2372,78.69,64,14,16.11
132,Nenjiang,CN,2022-07-10 16:47:06,49.1833,125.2167,63.39,89,59,6.11
133,Constantine,DZ,2022-07-10 16:47:07,36.365,6.6147,85.41,37,20,14.97
134,Pacifica,US,2022-07-10 16:43:19,37.6138,-122.4869,74.82,92,40,4.61
135,Los Llanos De Aridane,ES,2022-07-10 16:48:07,28.6585,-17.9182,71.35,78,0,16.11
136,Howard Springs,AU,2022-07-10 16:48:08,-12.497,131.047,62.51,72,59,6.96
137,George,ZA,2022-07-10 16:48:08,-33.963,22.4617,53.15,94,40,5.75
138,Podsineye,RU,2022-07-10 16:48:08,53.6658,91.5364,66.2,61,0,4.47
139,Rio De Janeiro,BR,2022-07-10 16:44:04,-22.9028,-43.2075,89.55,62,20,5.75
140,Lebu,CL,2022-07-10 16:48:09,-37.6167,-73.65,50.92,76,18,8.88
141,Marawi,PH,2022-07-10 16:48:09,7.9986,124.2928,69.17,91,89,5.28
142,Mmathubudukwane,BW,2022-07-10 16:48:09,-24.6,26.4333,63.43,34,18,1.36
143,Provideniya,RU,2022-07-10 16:48:10,64.3833,-173.3,48.16,93,100,4.81
144,Garissa,KE,2022-07-10 16:48:10,-0.4536,39.6401,78.1,54,42,25.72
145,Bredasdorp,ZA,2022-07-10 16:48:10,-34.5322,20.0403,53.04,90,100,4.92
146,Beringovskiy,RU,2022-07-10 16:48:11,63.05,179.3167,45.16,90,100,14.72
147,Port Macquarie,AU,2022-07-10 16:47:08,-31.4333,152.9167,53.49,94,75,9.22
148,Ketchikan,US,2022-07-10 16:48:11,55.3422,-131.6461,54.07,94,100,14.97
149,Chalus,IR,2022-07-10 16:48:11,36.655,51.4204,80.06,65,0,4.61
150,Palu,ID,2022-07-10 16:48:12,-0.8917,119.8707,76.8,92,100,2.82
151,Necochea,AR,2022-07-10 16:44:05,-38.5473,-58.7368,55.06,69,100,11.16
152,Cidreira,BR,2022-07-10 16:48:12,-30.1811,-50.2056,69.04,73,99,6.53
153,Dubbo,AU,2022-07-10 16:48:12,-32.25,148.6167,37.53,100,3,10.36
154,Wajima,JP,2022-07-10 16:48:13,37.4,136.9,75.31,86,40,2.59
155,Wasilla,US,2022-07-10 16:45:52,61.5814,-149.4394,60.37,73,0,3.0
156,Iwanai,JP,2022-07-10 16:48:13,42.9744,140.5089,66.43,97,84,2.17
157,Vakhrushev,RU,2022-07-10 16:48:14,48.9833,142.9667,57.74,87,96,3.62
158,Xai-Xai,MZ,2022-07-10 16:48:14,-25.0519,33.6442,68.34,57,0,7.85
159,Santa Vitoria Do Palmar,BR,2022-07-10 16:48:14,-33.5189,-53.3681,72.05,72,9,11.77
160,Praia,CV,2022-07-10 16:48:15,14.9215,-23.5087,84.74,58,20,8.05
161,Luancheng,CN,2022-07-10 16:48:15,37.8792,114.6517,69.96,76,20,2.55
162,Synya,RU,2022-07-10 16:48:15,65.3718,58.0387,66.25,53,66,4.14
163,Majene,ID,2022-07-10 16:48:16,-3.5403,118.9707,78.24,90,100,8.28
164,Airai,TL,2022-07-10 16:48:16,-8.9266,125.4092,55.22,92,78,2.91
165,Mahebourg,MU,2022-07-10 16:48:16,-20.4081,57.7,70.25,68,75,18.41
166,Flinders,AU,2022-07-10 16:48:17,-34.5833,150.8552,53.19,89,88,4.0
167,San Cristobal,VE,2022-07-10 16:48:17,7.7669,-72.225,82.58,45,65,8.48
168,Nouakchott,MR,2022-07-10 16:46:43,18.0858,-15.9785,78.73,78,27,15.32
169,Carauari,BR,2022-07-10 16:48:18,-4.8828,-66.8958,81.18,84,84,3.94
170,Castro,BR,2022-07-10 16:48:18,-24.7911,-50.0119,71.17,50,97,10.38
171,Muswellbrook,AU,2022-07-10 16:48:19,-32.2667,150.9,46.33,97,97,1.88
172,Rochegda,RU,2022-07-10 16:48:19,62.8,43.25,73.2,55,77,5.73
173,Korla,CN,2022-07-10 16:48:19,41.7597,86.1469,81.72,22,2,5.21
174,Dothan,US,2022-07-10 16:48:20,31.2232,-85.3905,87.04,71,0,8.05
175,Mar Del Plata,AR,2022-07-10 16:48:20,-38.0023,-57.5575,61.09,74,0,15.99
176,Barrow,US,2022-07-10 16:48:21,71.2906,-156.7887,53.62,76,0,5.75
177,Vanavara,RU,2022-07-10 16:48:21,60.34,102.2797,60.15,85,86,4.18
178,San Jeronimo,PE,2022-07-10 16:48:21,-11.9472,-75.2829,61.83,35,46,2.93
179,Navolato,MX,2022-07-10 16:48:22,24.7672,-107.6944,91.13,67,29,6.73
180,Tuatapere,NZ,2022-07-10 16:48:22,-46.1333,167.6833,33.85,93,62,4.5
181,Portales,US,2022-07-10 16:48:22,34.1862,-103.3344,95.02,28,0,7.49
182,Lakselv,NO,2022-07-10 16:49:23,70.0513,24.9718,57.02,82,75,14.97
183,Sao Sebastiao,BR,2022-07-10 16:49:04,-23.76,-45.4097,78.66,56,54,4.29
184,Basse,DE,2022-07-10 16:49:23,52.5518,9.5069,68.11,69,75,14.97
185,Saint George,US,2022-07-10 16:44:28,37.1041,-113.5841,96.8,16,20,1.99
186,Lexington Park,US,2022-07-10 16:49:23,38.2668,-76.4538,78.48,77,75,10.36
187,Zarand,IR,2022-07-10 16:49:24,30.8127,56.564,88.14,10,6,7.78
188,Hambantota,LK,2022-07-10 16:49:24,6.1241,81.1185,81.1,79,100,19.42
189,Ola,RU,2022-07-10 16:49:25,59.5833,151.2833,53.94,89,2,2.35
190,Vila Franca Do Campo,PT,2022-07-10 16:49:25,37.7167,-25.4333,70.21,62,39,6.33
191,Tura,IN,2022-07-10 16:49:25,25.5198,90.2201,77.02,85,89,4.0
192,Abu Samrah,SY,2022-07-10 16:49:26,35.3029,37.1841,80.06,38,0,15.39
193,Batetskiy,RU,2022-07-10 16:49:26,58.6461,30.3027,64.76,78,83,3.27
194,Bouna,CI,2022-07-10 16:49:27,9.2667,-3.0,82.04,63,100,7.63
195,Khatanga,RU,2022-07-10 16:49:27,71.9667,102.5,48.69,60,89,13.51
196,Novyy Urengoy,RU,2022-07-10 16:49:27,66.0833,76.6333,61.23,66,37,9.8
197,Karwar,IN,2022-07-10 16:49:27,14.8,74.1333,78.85,85,100,17.54
198,Buala,SB,2022-07-10 16:49:28,-8.145,159.5921,78.62,83,97,3.62
199,Bow Island,CA,2022-07-10 16:49:28,49.8668,-111.3684,62.47,77,92,2.3
200,Tromso,NO,2022-07-10 16:49:29,69.6496,18.957,55.42,76,40,11.5
