City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
175,Kaitangata,NZ,-46.2817,169.8464,42.15,90,96,5.06,overcast clouds
176,Abalak,RU,58.1286,68.5944,85.53,43,11,9.35,few clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,35.53,97,100,21.25,light rain
178,Smirnykh,RU,49.75,142.8333,65.73,79,100,9.35,overcast clouds
179,Virginia Beach,US,36.8529,-75.978,76.03,92,75,8.05,broken clouds
180,Sabzevar,IR,36.2126,57.6819,90.68,17,0,16.11,clear sky
181,Mahon,ES,39.8885,4.2658,81.16,65,0,3.44,clear sky
182,Ilulissat,GL,69.2167,-51.1,41.02,100,100,2.3,fog
183,Nagato,JP,34.3833,131.2,81.07,86,94,16.26,overcast clouds
184,La Asuncion,VE,11.0333,-63.8628,85.73,74,62,4.61,broken clouds
185,Bathsheba,BB,13.2167,-59.5167,81.21,91,40,14.97,scattered clouds
186,Taltal,CL,-25.4,-70.4833,53.71,84,99,3.8,overcast clouds
187,Zhicheng,CN,30.2956,111.5047,99.41,50,90,14.03,overcast clouds
188,Tuatapere,NZ,-46.1333,167.6833,39.16,87,85,4.27,overcast clouds
189,Caravelas,BR,-17.7125,-39.2481,68.95,91,56,2.42,broken clouds
190,Usinsk,RU,65.9939,57.5281,84.49,39,4,4.03,clear sky
191,Salalah,OM,17.0151,54.0924,80.69,83,100,5.75,overcast clouds
192,Japura,ID,-0.3167,102.35,82.9,87,96,1.61,overcast clouds
193,Amapa,BR,1.0,-52.0,69.93,99,95,1.25,overcast clouds
194,Hit,IQ,33.6416,42.8251,105.1,12,0,20.15,clear sky
195,Namie,JP,37.4833,141.0,75.72,91,100,4.85,overcast clouds
196,Amga,RU,60.8953,131.9608,79.14,69,98,4.16,overcast clouds
197,Lorengau,PG,-2.0226,147.2712,82.98,71,100,4.83,light rain
198,Troy,US,42.6056,-83.1499,62.55,91,0,0.0,clear sky
199,Alabaster,US,33.2443,-86.8164,74.62,96,0,0.0,clear sky
200,Lyuban,BY,52.7985,28.0048,67.86,70,54,13.38,broken clouds
201,Alamogordo,US,32.8995,-105.9603,78.22,47,0,8.05,clear sky
202,Wadi Musa,JO,30.3222,35.4793,76.14,29,81,6.78,broken clouds
203,Huai Mek,TH,16.5898,103.2355,91.87,99,100,5.82,moderate rain
204,Yerbogachen,RU,61.2767,108.0108,67.42,41,99,5.35,overcast clouds
205,Garissa,KE,-0.4536,39.6401,83.68,49,100,20.92,overcast clouds
206,Maxixe,MZ,-23.8597,35.3472,71.42,60,0,0.0,clear sky
207,Wakkanai,JP,45.4094,141.6739,58.98,88,75,19.57,broken clouds
208,Salinas,US,36.6777,-121.6555,60.89,82,100,8.05,overcast clouds
209,Young,UY,-32.6833,-57.6333,45.81,91,33,8.16,scattered clouds
210,Grindavik,IS,63.8424,-22.4338,46.87,93,75,9.22,broken clouds
211,Lompoc,US,34.6391,-120.4579,60.01,86,100,10.0,overcast clouds
212,Zhoucheng,CN,35.9122,116.3117,92.21,61,100,5.35,overcast clouds
213,Loharu,IN,28.45,75.8167,98.76,36,93,13.22,overcast clouds
214,Port Lincoln,AU,-34.7333,135.8667,54.18,75,19,10.58,few clouds
215,Berlevag,NO,70.8578,29.0864,67.8,87,40,8.05,scattered clouds
216,Sorong,ID,-0.8833,131.25,81.75,82,100,9.75,overcast clouds
217,Victoria,HK,22.2855,114.1577,93.38,69,92,11.99,overcast clouds
218,Kropotkin,RU,45.4375,40.5756,80.33,39,0,10.6,clear sky
219,Tamiahua,MX,21.2667,-97.45,78.89,89,67,4.25,broken clouds
220,Chuy,UY,-33.6971,-53.4616,49.71,91,77,10.47,broken clouds
221,Bay Roberts,CA,47.5999,-53.2648,65.34,94,84,7.0,broken clouds
222,Cidreira,BR,-30.1811,-50.2056,56.71,86,82,16.08,broken clouds
223,Tamsweg,AT,47.1281,13.811,71.67,38,100,2.66,overcast clouds
224,Nara,JP,34.6851,135.8049,78.17,97,100,2.91,overcast clouds
225,Kaeo,NZ,-35.1,173.7833,56.32,93,100,12.17,light rain
