City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
173,Maragogi,BR,73.62,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
179,Virginia Beach,US,76.03,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
189,Caravelas,BR,68.95,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
195,Namie,JP,75.72,overcast clouds,37.4833,141.0,いこいの村なみえ
196,Amga,RU,79.14,overcast clouds,60.8953,131.9608,Algys
199,Alabaster,US,74.62,clear sky,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
201,Alamogordo,US,78.22,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
202,Wadi Musa,JO,76.14,broken clouds,30.3222,35.4793,Petra Palace Hotel
206,Maxixe,MZ,71.42,clear sky,-23.8597,35.3472,Oceano
219,Tamiahua,MX,78.89,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
223,Tamsweg,AT,71.67,overcast clouds,47.1281,13.811,Eden44
224,Nara,JP,78.17,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
226,Shingu,JP,72.5,light rain,33.7333,135.9833,Shingu UI Hotel
227,Inhambane,MZ,71.58,clear sky,-23.865,35.3833,Oceano
231,Miyako,JP,69.22,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
232,Nanakuli,US,78.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
235,Moyale,KE,70.09,overcast clouds,3.5167,39.0584,La Tahzan Guest House
241,Nikolskoye,RU,75.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
244,Gallup,US,69.64,few clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
247,Oktyabrskiy,RU,78.89,overcast clouds,54.4815,53.471,Гостиница Октябрьская
250,Marshall,US,73.38,scattered clouds,34.3834,-86.3333,Riverview Campground
251,Kirakira,SB,78.87,broken clouds,-10.4544,161.9205,SanBiz Lodge
274,Hamilton,US,70.93,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
283,Cabedelo,BR,72.27,few clouds,-6.9811,-34.8339,Pousada Camboinha
288,Bolivar,US,70.56,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
293,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
296,Macultepec,MX,78.1,overcast clouds,18.1667,-92.8333,La guadalupana
297,Tsiroanomandidy,MG,75.54,clear sky,-18.7667,46.0333,Hotel Ravinala
301,Sapele,NG,74.61,light rain,5.8941,5.6767,Movig Hotel & Suites
302,Winnemucca,US,73.45,clear sky,40.973,-117.7357,Winners Inn Casino
307,Hutchinson,US,76.03,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
308,Puerto Leguizamo,CO,70.86,overcast clouds,-0.1934,-74.7819,la casona de juancho
316,Am Timan,TD,76.44,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
318,San Felipe,VE,71.33,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
320,Santa Cruz De Tenerife,ES,74.91,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
328,Jacareacanga,BR,70.47,clear sky,-6.2222,-57.7528,Casa do Ian😎
329,Vila Franca Do Campo,PT,69.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
331,Noumea,NC,72.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
335,Bouillante,GP,78.37,broken clouds,16.1304,-61.7692,Gîtes Dardanelle
337,Novi Pazar,RS,76.06,clear sky,43.1367,20.5122,Hotel Tadž
338,Margate,GB,69.91,clear sky,51.3813,1.3862,Premier Inn Margate hotel
339,Laguna,US,71.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
340,Oron,NG,76.69,light rain,4.8256,8.2343,Aqua Belloni Lodge
351,Mikhaylovka,RU,78.71,overcast clouds,50.06,43.2379,5 Komnat
355,Pangai,TO,78.39,few clouds,-19.8,-174.35,Ha'apai Beach Resort
356,Tete,MZ,73.49,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
360,Coffeyville,US,73.45,clear sky,37.0373,-95.6164,Regal Inn
364,Verbilki,RU,70.03,overcast clouds,56.5333,37.6,Country Resort
366,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
367,Auki,SB,77.76,scattered clouds,-8.7676,160.7034,Auki Motel
372,Chokwe,MZ,76.26,clear sky,-24.5333,32.9833,Complexo Sonho Real
374,Malindi,KE,71.76,light rain,-3.2175,40.1191,African House Resort
376,Flagstaff,US,73.06,overcast clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
381,Puerto Del Rosario,ES,71.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
384,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
389,Mizan Teferi,ET,69.51,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
390,Tysmenytsya,UA,79.05,broken clouds,48.9022,24.8448,Chempion - Tsentr Dozvillya Dlya Sobak. Zoohotelʹ
398,Brokopondo,SR,75.81,overcast clouds,4.75,-55.1667,Matu Island
404,Saint-Pierre,RE,76.28,scattered clouds,-21.3393,55.4781,Alize Plage
406,Mumbwa,ZM,68.88,clear sky,-14.9783,27.0619,Mumbwa Motel
407,Luanda,AO,71.6,mist,-8.8368,13.2343,EPIC SANA Luanda
408,Butembo,CD,73.78,broken clouds,0.15,29.2833,Hotel Butembo
409,Acajutla,SV,76.48,overcast clouds,13.5928,-89.8275,Laureles
410,Bubaque,GW,79.05,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
412,Xining,CN,78.8,overcast clouds,36.6167,101.7667,Super Leisure Hotel
413,Pedernales,DO,78.62,few clouds,18.0384,-71.744,Hotel Costa Marina
415,Hovd,MN,70.61,overcast clouds,48.0056,91.6419,Hotel Khovd
416,Chandvad,IN,77.4,light rain,20.3333,74.25,Hotel nisarg & lodging
420,Watertown,US,69.66,light rain,42.3709,-71.1828,16 Washburn Street Watertown MA
437,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
438,Ouro Preto Do Oeste,BR,69.19,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
442,Rawlins,US,69.69,broken clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
444,Puerto Escondido,MX,78.01,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
446,Oskemen,KZ,74.93,broken clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
447,Kamaishi,JP,69.26,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
448,Tarbes,FR,77.47,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
449,Gimli,CA,71.62,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
450,Yabrud,SY,79.99,clear sky,33.9674,36.6574,صالة افراح الاندلس
451,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
452,Camargo,MX,78.93,clear sky,27.6667,-105.1667,Hotel Santa Fe
455,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
456,Saint-Andre-Les-Vergers,FR,77.04,clear sky,48.2853,4.0521,Le Royal
458,Ziarat,PK,74.23,clear sky,30.3823,67.7282,Pakiza Guest House ziarat
460,Chake Chake,TZ,73.8,light rain,-5.2459,39.7666,Hotel Archipelago
